 objectid,premises_name, long, lat, lga
1,ISLE OF WIGHT HOTEL,145.2412731,-38.44822596,BASS COAST SHIRE
2,DEDERANG HOTEL,147.0126435,-36.46646004,ALPINE
3,CLARENDON HOTEL,144.3507931,-38.15607346,GREATER GEELONG
4,MIPUNG,145.176825,-37.821095,WHITEHORSE CITY
5,MIDLANDS GOLF CLUB,143.858433,-37.528368,BALLARAT CITY
6,MOUNT XAVIER GOLF CLUB,143.905233,-37.562926,BALLARAT CITY
7,MAFFRA GOLF CLUB,146.9984022,-37.9515189,WELLINGTON
8,LANG LANG GOLF CLUB,145.6086407,-38.3382256,BASS COAST SHIRE
9,CASTLEMAINE GOLF CLUB,144.159032,-37.080268,MOUNT ALEXANDER SHIRE
10,WARRAGUL FOOTBALL CLUB,145.920508,-38.1547,BAW BAW SHIRE
11,STATION HOTEL,144.9017712,-37.80464987,MARIBYRNONG CITY
12,BRIM MEMORIAL BOWLING CLUB,142.418667,-36.076497,YARRIAMBIACK
13,OCEAN GROVE HOTEL,144.5492046,-38.2695558,GREATER GEELONG
14,KNOX TAVERN HOTEL,145.2442497,-37.8707641,KNOX CITY
15,WEST COBURG BOWLING CLUB,144.954407,-37.741701,MORELAND
16,MANNINGHAM HOTEL,145.0815886,-37.77901934,MANNINGHAM
17,GENNARO'S (ELTHAM),145.145907,-37.722997,NILLUMBIK
18,MERCURE GRAND HOTEL ON SWANSTON,144.9650201,-37.81299177,MELBOURNE
19,BROOKWOOD RECEPTIONS,144.989676,-37.691285,WHITTLESEA
20,"BWS - BEER, WINE, SPIRITS",145.086826,-38.007838,KINGSTON CITY
21,GRAND HOTEL,145.1205752,-38.14520216,FRANKSTON
22,SEAFORD TAVERNER,145.1552013,-38.1123658,FRANKSTON
23,ROSSTOWN HOTEL,145.0576351,-37.88434153,GLEN EIRA CITY
24,BLUE ROOM CAFE BAR RESTAURANT SOUTH MELBOURNE,144.960974,-37.83447459,PORT PHILLIP CITY
25,EPPING HOTEL,145.0244783,-37.64927644,WHITTLESEA
26,BLUESTONE RESTAURANT BAR,144.962839,-37.817809,MELBOURNE
27,WERRIBEE PLAZA TAVERN,144.681057,-37.877815,WYNDHAM CITY
28,ROYAL MAIL HOTEL,145.1550531,-36.78261096,STRATHBOGIE
29,BOX HILL GOLF CLUB,145.1220187,-37.83969454,WHITEHORSE CITY
30,DINGEE BOWLING CLUB,144.239303,-36.371722,LODDON
31,GRACE DARLING HOTEL,144.9834494,-37.80483451,YARRA
32,null,146.3930124,-38.23646693,LATROBE
33,CHELTENHAM GOLF CLUB,145.0474978,-37.96840539,BAYSIDE
34,EAST GEELONG GOLF CLUB,144.382626,-38.1496178,GREATER GEELONG
35,WYCHEPROOF GOLF CLUB CLUB HOUSE,143.22667,-36.067825,BULOKE
36,MOOROOPNA GOLF CLUB,145.3600375,-36.38660065,GREATER SHEPPARTON CITY
37,KANIVA GOLF CLUB,141.3335314,-36.3873335,WEST WIMMERA
38,WILSON'S PROMONTORY MOTEL,146.201615,-38.6535898,SOUTH GIPPSLAND
39,COMFORT INN TRARALGON,146.5362948,-38.19840121,LATROBE
40,SAUNDERS LANE T/A 1895 THE ROYAL,144.7488475,-36.12623066,CAMPASPE
41,SWAN REACH GENERAL STORE,147.859191,-37.8211449,EAST GIPPSLAND
42,THE CHARLTON CLUB INC,143.3501795,-36.26859938,BULOKE
43,KOORINGAL GOLF CLUB,144.8125305,-37.8737296,HOBSONS BAY
44,WARRAGUL COUNTRY CLUB,145.9253936,-38.1499107,BAW BAW SHIRE
45,LONSDALE GOLF CLUB,144.6014738,-38.2803796,GREATER GEELONG
46,QUEENSCLIFF GOLF CLUB,144.6715498,-38.2547967,QUEENSCLIFFE BOROUGH
47,THE WONTHAGGI CLUB,145.589999,-38.59699435,BASS COAST SHIRE
48,KYNETON GOLF CLUB,144.4837635,-37.2342355,MACEDON RANGES
49,GOONAWARRA GOLF CLUB,144.7502522,-37.58721398,HUME
