premises_name, suburb, licence_no, address_1, address_2, postcode, long, licence_category, objectid, lga, lat
MERCURE GRAND HOTEL ON SWANSTON,MELBOURNE,33120320,191-205 SWANSTON STREET,null,3000,144.9650201,Late night (general) Licence,18,MELBOURNE,-37.81299177
BLUESTONE RESTAURANT BAR,MELBOURNE,32204202,349 FLINDERS LANE,null,3000,144.962839,On-Premises Licence,26,MELBOURNE,-37.817809
THE MINT RESTAURANT AND WINE BAR,MELBOURNE,31950664,280-318 WILLIAM STREET,null,3000,144.9569178,Late night (general) Licence,161,MELBOURNE,-37.81221735
BACK POCKET LITTLE LONSDALE,MELBOURNE,32255716,SHOP 3,535 LITTLE LONSDALE STREET,3000,144.9561532,Restaurant and cafe Licence,185,MELBOURNE,-37.8138262
BONDSTORE,SOUTHBANK,32254906,GND FLOOR 33 SOUTHBANK BLVD,null,3006,144.9637957,Restaurant and cafe Licence,191,MELBOURNE,-37.8218593
null,MELBOURNE,32255520,41-43 BLOCK PLACE,null,3000,144.9642428,Restaurant and cafe Licence,193,MELBOURNE,-37.81517396
ALL 4 U CAFE & BAR,MELBOURNE,32258023,536 LITTLE LONSDALE STREET,null,3000,144.9532721,Restaurant and cafe Licence,204,MELBOURNE,-37.81361479
THE WESTIN MELBOURNE,MELBOURNE,31950567,205 COLLINS STREET,null,3000,144.9672758,Late night (general) Licence,211,MELBOURNE,-37.81548755
THE QUARTER CAFE,MELBOURNE,32255295,27 DEGRAVES STREET,null,3000,144.9654783,Restaurant and cafe Licence,212,MELBOURNE,-37.81704274
ROBOT SUSHI & BAR,MELBOURNE,32258196,12 BLIGH PLACE,null,3000,144.963903,Late night (on-premises) Licence,220,MELBOURNE,-37.81725205
TINA'S NOODLE KITCHEN,MELBOURNE,32255368,237 SWANSTON STREET,null,3000,144.964851,Restaurant and cafe Licence,227,MELBOURNE,-37.812444
LANES EDGE CAFE & BAR,MELBOURNE,32255457,39 BOURKE STREET,null,3000,144.9720579,Restaurant and cafe Licence,241,MELBOURNE,-37.81186633
GRASSHOPPERS FEAST,MELBOURNE,32255596,SHOPS 13 & 14 THE CAUSEWAY LANE,323 BOURKE STREET,3000,144.9643876,Restaurant and cafe Licence,251,MELBOURNE,-37.81412219
SICHUAN HOUSE,MELBOURNE,32255782,GROUND FLOOR,22-26 CORRS LANE,3000,144.9683215,Restaurant and cafe Licence,261,MELBOURNE,-37.81100886
MELBOURNE HWARO BBQ RESTAURANT,MELBOURNE,32256225,562-566 LITTLE BOURKE STREET,null,3000,144.9557028,Restaurant and cafe Licence,291,MELBOURNE,-37.81515861
SPQR,MELBOURNE,32051552,SHOP 2,416 QUEEN STREET,3000,144.958275,Packaged Liquor Licence,314,MELBOURNE,-37.809095
DON DON,MELBOURNE,32258188,SHOPS 5 & 6 340 LITTLE LONSDALE ST,null,3000,144.9595447,Restaurant and cafe Licence,343,MELBOURNE,-37.81184318
